Nume,Email,"Facturare - Judet",Tip,Cui,Industrie,"Creat La"
Neasociat,,,,,,"2023-01-11 10:39:14"
"Inst. de Boli Cardiovasculare 'CC Iliescu'",ibcardio@gmail.com,,,4203628,,"2014-07-23 00:27:00"
"Spit.Jud.de Urg.Dr.Fogolyan Kristof Sf.Gheorghe",,,,4202010,,"2014-07-23 00:27:00"
"Inst. Nat.de Boli Infect.Prof.Dr.Matei Bals",secretariat@mateibals.ro,,,9524980,,"2014-07-25 14:28:00"
"Spitalul de Urgenta Tulcea",spitaltl@x3m.ro,,,4026712,,"2014-08-04 13:14:00"
Innovet,,,,RO7738073,,"2014-09-07 12:04:00"
"A&A Medical Vet SRL",,,,RO6641918,,"2014-09-07 12:04:00"
"A&D Pharma Marketing&Sales Services SRL",,,,RO25575489,,"2014-09-07 12:04:00"
"Abad Vet SRL",,,,RO17827267,,"2014-09-07 12:04:00"
"ABC Medical Center SRL",,,,15399741,,"2014-09-07 12:04:00"
"Absintia SRL",,,,RO18497884,,"2014-09-07 12:04:00"
"ACCIPIENS SA",,,,RO16194949,,"2014-09-07 12:04:00"
"Actavis SRL",,,,RO1554136,,"2014-09-07 12:04:00"
"Adcorom Catering SRL",,,,RO26272300,,"2014-09-07 12:04:00"
"Administratia Gradinii Zoologice Bucuresti",,,,4505375,,"2014-09-07 12:04:00"
"Agentia Nationala Antidrog",,,,28652497,,"2014-09-07 12:04:00"
"Alergomed SRL",,,,RO15163391,,"2014-09-07 12:04:00"
"AlmaVet SRL",,,,RO9986695,,"2014-09-07 12:04:00"
"Alpa SRL",,,,RO1333224,,"2014-09-07 12:04:00"
"Alpha Servicii Medicale SRL",,,,RO28024891,,"2014-09-07 12:04:00"
"American Academy of Emergency Medicine",,,,,,"2014-09-07 12:04:00"
"Animal Vet",,,,RO3970875,,"2014-09-07 12:04:00"
"Animed Plus srl",,,,Ro5859940,,"2014-09-07 12:04:00"
"Aravet RA",,,,RO26146906,,"2014-09-07 12:04:00"
"ARIS MANTZOROS SA",,,,EL094464316,,"2014-09-07 12:04:00"
"Armeneasca 34 IC Vet SRL",,,,RO25449910,,"2014-09-07 12:04:00"
"Asociatia Clujana pentru Cercetare",,,,25128740,,"2014-09-07 12:04:00"
"Asociatia''Societatea Romana de Microbiologie''",,,,15243709,,"2014-09-07 12:04:00"
"Badea Medical SA",,,,30323305,,"2014-09-07 12:04:00"
"Balmed SRL",,,,RO4281740,,"2014-09-07 12:04:00"
"Biomedica Medizinprodukte",,,,ATU53399220,,"2014-09-07 12:04:00"
"Biona SRL",,,,RO14208126,,"2014-09-07 12:04:00"
"Biovet Farma SRL",,,,RO6714408,,"2014-09-07 12:04:00"
"Biovet Impex SRL",,,,RO6321522,,"2014-09-07 12:04:00"
Biovetfarm,,,,RO7033943,,"2014-09-07 12:04:00"
"C.J.A.M. Calarasi",,,,RO12857607,,"2014-09-07 12:04:00"
"C.M. Dr. Blaj SRL",,,,RO20493264,,"2014-09-07 12:04:00"
"C.M.I.M.L Dr. Bota Adriana",,,,RO24666228,,"2014-09-07 12:04:00"
"Cab medical Negucioiu Daniela",,,,19435910,,"2014-09-07 12:04:00"
"CMV  Dr Coldea",,,,RO21734735,,"2014-09-07 12:04:00"
"CMV Daisy Vet",,,,RO13121195,,"2014-09-07 12:04:00"
"Cab. Chirurgie Asociat Mihalca&Pogorevici",,,,25672279,,"2014-09-07 12:04:00"
"Caminul ptr persoane varstnice Roznov",,,,2865432,,"2014-09-07 12:04:00"
"Cardiosmart Medical",,,,RO30278018,,"2014-09-07 12:04:00"
"Central Clinic SRL",,,,25364198,,"2014-09-07 12:04:00"
"Centro Vet Bucuresti",,,,RO8650998,,"2014-09-07 12:04:00"
"Centru Medical  Nicomed",,,,RO13478334,,"2014-09-07 12:04:00"
"Centrul de Diagnostic Galati",,,,RO14586121,,"2014-09-07 12:04:00"
"Centrul de medicina Navala Constanta",,,,10924181,,"2014-09-07 12:04:00"
"Centrul de Perfectionare ITM Botosani",,,,RO4256298,,"2014-09-07 12:04:00"
"Centrul de Sanatate Parscov",,,,RO4299585,,"2014-09-07 12:04:00"
