Subiect,"Status Intalnire","Data Incepere",Organizatie,"Scopul Vizitei","Atribuit Lui"
Pathfast,,2024-04-10,,"Consum Pathfast",
Vcm,,2024-04-10,,"Obtinere comanda si contract de punere la dispozitie.",
Pathfast,,2024-04-10,,"Informatii competitie",
Chemi-Pharm,,2024-04-09,,"Promovare dezinfectanti.",
Pathfast&Unyvero,,2024-04-09,,"Statusul solicitarii pentru a aduce Pathfastul in laborator.",
vcm,,2024-03-26,,"Impreuna cu Antonia am facut un demo pe Vcm pe sectia Upu, au fost interesati si incantati de aparat si de rezultat.",
Vcm,,2024-03-26,,"Impreuna cu Antonia am facut demo pe vcm, au fost foarte interesati si incantati de aparat, au participat toti medicii de pe sectia de Ati.",
"Pathfast si Monnal",,2024-03-19,,"Sartis si promovare Pathfast si Monnal.",
Pathfast,,2024-03-18,,"Discutii in legatura cu solicitarea refacuta pentru a aduce Pathfastul in laborator.",
Pathfast,,2024-01-31,,"Promovare si discutie in legatura cu competitia.",
Vcm,,2024-01-18,,"Demo Vcm",
Birou,,2024-01-22,,Pathfast,
Birou,,2024-01-17,,"Discutii telefonice cu clientii",
Pathfast,,2024-01-16,,Pathfast,
Pathfast,,2024-01-16,,Pathfast,
Pathfast,,2024-01-16,,"Pathfast si portofoliu Synttergy",
"Discutii telefonice cu clientii",,2024-01-15,,"Gastat si Pathfast",
Pathfast,,2024-01-11,,Pathfast,
"Contract de sponsorizare",,2024-01-11,,"Contract de sponsorizare si pathfast",
"Sedinta de vanzari",,2024-01-12,,"Sedinta de vanzari",
"Pathfast si Gastat",,2024-01-11,,"Pathfast si Gastat",
"Pathfast si Gastat",,2024-01-11,,"Pathfast si Gastat",
Pathfast,,2024-01-11,,Pathfast,
Birou,,2024-01-09,,"Discutii cu clientii.",
Pathfast&Unyvero,,2024-01-04,,"A fost de decide daca mai aducem Pathfastul in demo ,dupa care sa se achizitioneze kituri. Despre licitatia de Unyvero nu se stie cand se va da verdictul.",
"Instructaj Mobiwatch",,2023-12-20,,"A fost sa le facem instructajul pentru cele 8 aparate Mobiwatch.",
"Pathfast si Vcm",,2023-12-20,,"Am discutat despre posibilitatea de a reporni Pathfastul si licitatie pe markeri (vom inlocui Pathfastul model A cu model D). Am discutat despre Vcm cu punere la dispozitie si Gastat cu punere la dispozitie.",
"Craciun Fericit",,2023-12-21,,"Am discutat despre colaborarea buna pe care o avem si planurile pentru anul viitor.",
Birou,,2023-11-01,,"Discutii telefonice cu clientii.",
Unyvero,,,,"Sa faca comanda pentru Unyvero sa putem sa il instalam.",
Comenzi,,2023-11-02,,"Sa facem comenzile pentru Upu si sa fie semnate contractele.",
Birou,,2023-11-03,,"Discutii telefonice cu clientii.",
Birou,,2023-11-06,,"Discutii telefonice cu clientii",
Birou,,2023-11-07,,"Discutii telefonice cu clientii",
Birou,,2023-11-08,,"Discutii telefonice cu clientii.",
Unyvero,,2023-11-09,,"Sa faca comanda pentru Unyvero si sa facem instructajul.",
"Comenzi Pathfast",,2023-11-09,,"Sa facem impreuna un necesar pentru a face comenzi pe Pathfast ,avand in vedere ca au buget pe care trebuie sa il cheltuie.",
"Pathfast si Gastat",,2023-11-09,,"Sa gasim o solutie pentru a avea mereu pe stoc markeri si sa nu mai fie restante la pachetele de Gastat.",
"Gastat si Vcm",,2023-11-09,,"Sa gasim o solutie pentru a fi cu comenzile la zi pentru pachetele de Gastat.",
Birou,,2023-11-10,,"Discutii telefonice cu clientii.",
Birou,,2023-11-13,,"Discutii telefonice cu clientii, rezolvat contractele care nu au fost semnate.",
Birou,,2023-11-14,,"Discutii telefonice cu clientii.",
"Pathfast si Elite",,2023-11-15,,"A fost sa reluam colaborarea pe Pathfast si ELite.",
Birou,,2023-11-16,,"Am discut telefonic cu clientii pentru comenzi, trebuie sa aiba facturile pana maine Sju Deva, pentru a putea fi platite anul acesta.",
Birou,,2023-11-17,,"Am discutat cu clienti pentru comenzi, Sju Deva trebuia sa isi cheltuiasca banii si au facut mai multe comenzi .",
Birou,,2023-12-22,,"Discutii telefonice cu clientii in legatura cu comenzi, Upu SIbiu, Ati Satu Mare si decont.",
"Sedinta de vanzari",,2023-12-08,,,
"Custodii si comenzi",,2023-11-21,,"Comenzile si custodiile de pe Upu.",
"Elite si Vcm",,,,"Vor avea nevoie pe sectia de Ustac de Elite si vor sa il puna pe lista de achizitii de la anul ,alaturi de VCM.",
Birou,,2023-11-22,,"Discutii cu clientii pentru comenzi, custodii, contractul de la Deva de pe ATi.",
"Licitatie Service",,2023-11-23,,"Discutie in legatura cu licitatia de service.",
"Comenzi Pathfast&Gastat",,2023-11-23,,"Pentru a afla mai multe informatii in legatura cu licitatia de service de pe spital, unde sunt incluse si aparatele noastre. Am mai discutat despre proiecte viitoare pe 2024 si comenzi pentru luna decembrie.",
birou,,2023-11-24,,"Discutii cu spitalele referitor la comenzi . Am discutat cu Satu Mare pentru comenzile de dezinfectanti , cardiologie Deva pentru achizitia de aparate 2024.",
birou,,2023-12-04,,"Discutii cu spitalele referitor la comenzi si custodii.",
"Instalare Unyvero",,2023-11-21,,"Instalare Unyvero si discutii legate de Pathfast.",
Licitatii,,2023-10-26,,"a fost sa gasim oportunitati pentru a pune aparate pe fonduri europene.",
"Comenzi si licitatii",,2023-10-26,,"Inceperea licitatiei pe Pathfast,Gastat si Norma.",
"Comenzi Pathfast",,2023-10-26,,"Asigurarea necesarului de markeri pentru anul acesta.",
Pathfast&Unyvero,,2023-10-26,,"Gasirea de resurse pentru a achizitiona markeri pentru pathfast.",
"Pathfast si Gastat",,2023-10-26,,"Stocul de markeri si gastat.",
Vcm&Nexus,,2023-10-26,,"A fost sa gasim o posibilitate de a avea cele 2 aparate pe sectie, Vcm si Nexus.",
Pathfast,,2023-10-25,,"Cresterea consumului pe Pathfast.",
Pathfast,,2023-10-25,,"A fost sa gasim o solutie pentru a se lucra mai des pe Pathfast ,care in momentul actual este in laborator.",
Pathfast&Elite,,2023-10-25,,"Sa incepem colaborarea pe Elite si Pathfast.",
"Comenzi Pathfast",,2023-10-25,,"Scopul vizitei a fost sa discutam despre markerii de Pth si cum isi vor gestiona sfarsitul de an .",
Unyvero,,2023-10-18,,"Unyvero a fost adus pe sectie.",
"Pathfast si Gastat",,2023-10-18,,"Discutii despre Pathfast si Gastat, ar avea nevoie de ambele echipamente pe sectia de Infectioase.",
Unyvero,,2023-10-18,,"Am dus aparatul Unyvero pentru a fi pe sectie si urmeaza sa faca comanda de paneluri.",
Birou,,2023-10-16,,"Discutii telefonice cu clienti pentru comenzi si declaratii, am discutat cu Sju Zalau si Sju Sibiu.",
"Unyvero si Nexus",,2023-10-12,,"Licitatia de Unyvero si Nexus.",
"Unyvero si Vita-Pcr",,2023-10-12,,"Am discutat despre licitatia de Unyvero si testele de Vita-Pcr .",
Unyvero,,2023-10-12,,"Licitatia de Unyvero",
Pathfast,,2023-10-12,,"Reluarea discutiilor in legatura cu aducerea Pathfastului in demo.",
Pathfast&Unyvero,,2023-10-13,,"Am reluat discutiile in legatura cu aducerea in demo a Pathfastului si impreuna cu Antonia i-am prezentat si Unyvero.",
"Prezentare Pathfast",,2023-10-13,,"La raportul de garda Antonia a facut o prezentare de Presepsin, Procalcitonina si Troponina.",
"Sedinta de vanzari",,2023-10-11,,"Sedinta de vanzari si training",
"Sedinta de vanzari",,2023-10-10,,"Sedinta de vanzari si training",
"Sedinta de vanzari",,2023-10-09,,"Sedinta de vanzari",
Unyvero,,2023-10-06,,Unyvero&Pathfast,
VCM,,2023-09-05,,"Posibiliatea de a gasi finantare pentru achizitia unui VCM si discutii pentru aparatele aflate in dotare.",
Gastat&Pathfast,,2023-09-05,,"a fost sa incercam sa gasim o posibilitate sa vina comenzile la zi pentru Gastat, mereu sunt cu 1 luna intarziere si problema taierii de pe referate a markerilor,mereu raman fara la sfarsit de luna.",
Unyvero,,2023-09-05,,"Acte necesare instalare Unyvero si Pathfast",
Vcm,,2023-09-25,,"Am discutat despre posibilitatea achizitiei Vcm-ului,iar Dr. Csilag de la Upu Sibiu a propus sa lucreze ambele sectii pe acelasi aparat, datorita finantarilor mici pe care le au. A fost de acord si vom continua discutia la GPATI-Timisoara.",
Pathfast&Unyvero,,2023-08-29,,"Sa aflu in ce stadiu e licitatia de Unyvero si propunere Pathfast in demo.",
Pathfast,,2023-08-29,,Pathfast,
Contracte,,2023-06-28,,"Am dus contractele de sponsorizare si punere la dispozitie pentru Pathafastul din Upu si cel din Laborator",
Dezinfectanti,,2023-06-27,,"Scopul a fost sa vedem statusul dezinfectantilor din spital, desi licitatia a fost castigata anul trecut nu a fost facuta decat o singura comanda, din cauza ca au fost facuta o achizitie mare inainte de a incheia acordul cadru cu companiile vechi.",
"Unyvero si Elite",,2023-07-05,,"Am fost chemat pentru a rezolva imprimanta de la Elite,iar cu ajutorul lui Claudiu ambele imprimante de la Elite sunt functionale.",
"Prezentare Unyvero",,2023-06-27,,"Doamna Dr. Lavinia Trif ne-a solicitat sa facem o prezentare pe Unyvero in sala de sedinta unde au participat de la sectia de Ati, Laborator, Interne,Chirugie. Prezentarea a fost facuta de Antonia.",
Gastat&Pathfast,,2023-05-31,,"Am discutat despre restantele avute pe pachetele de Gastat, din pacate au ramas fara buget pe anul acesta, iar markerii din custodie au fost livrati,deocamdata nu mai pot face comenzi.",
Pathfast,,2023-05-11,,"Instalare Pathfast",
