Producator,Nume,Model,Serie,Activ,Functional,Organizatie,Sectie,"Nume (crm vechi)"
,,,0704A0504,,,,,Pathfast
,,,0511A0362,,,,,Pathfast
,,,1103B1191,,,,,Pathfast
,,,,,,,,"VersaTREK 240"
,,,0512A0398,,,,,Pathfast
,,,0512A0401,,,,,Pathfast
,,,0704A0507,,,,,Pathfast
,,,3910001,,,,,"Gastat Navi"
,,,,,,,,"Gastat Navi"
,,,3304001,,,,,"Gastat Navi"
,,,,,,,,"Drug test 5000"
,,Elite,9399,,,,,"Hemochron Signature Elite"
,,Elite,9401,,,,,"Hemochron Signature Elite"
,,Elite,9408,,,,,"Hemochron Signature Elite"
,,,"SE 9183",,,,,"Hemochron Signature Elite"
,,Elite,9407,,,,,"Hemochron Signature Elite"
,,,6333,,,,,VerifyNow
,,,1102B1230,,,,,Pathfast
,,,2307,,,,,"Mobiwatch Minibio"
,,,2311,,,,,"Mobiwatch Minibio"
,,,2312,,,,,"Mobiwatch Minibio"
,,,2324,,,,,"Mobiwatch Maxibio"
,,,2325,,,,,"Mobiwatch Maxibio"
,,,1404C2099,,,,,Pathfast
,,,1940X1112,,,,,VersaTrek
,,,1506C2390,,,,,Pathfast
,,,"SE 11788",,,,,"Hemocron Signature Elite"
,,,0704A03502,,,,,Pathfast
,,,8187405,,,,,"Gastat Navi"
,,,1506C2382,,,,,Pathfast
,,,11789,,,,,"Hemochron Elite"
,,,8185405,,,,,"Gastat Navi"
,,,NI50H18017,,,,,"Norma ICON 5"
,,,1506C2389,,,,,Pathfast389
,,,1709D3064,,,,,Pathfast
,,,2596,,,,,Minibio
,,,"A 0187/L4 0173/C8 0347",,,,,unyvero
,,,2623,,,,,Minibio
,,,2625,,,,,Minibio
,,,2624,,,,,Minibio
,,,2622,,,,,Minibio
,,,2621,,,,,Minibio
,,,2620,,,,,Minibio
,,,2597,,,,,Minibio
,,,1807D3232,,,,,Pathfast
,,,1902D3369,,,,,Pathfast
,,,16394,,,,,"Hemochron Elite"
,,,MT75-07735,,,,,"Monnal T75"
,,,MT60-07458,,,,,"Monnal T60"
,,,2544,,,,,Minibio
,,,NO50H18008,,,,,"Norma ICON 5"
,,,"A50 0391,L4 0344, C8 0511",,,,,Unyvero
,,,1905D3482,,,,,Pathfast
,,,1905D3481,,,,,Pathfast
,,,"SN 18123339005",,,,,"Aparat chirurgical mobil"
,,,"SN 18123339245",,,,,"Aparat chirurgical mobil"
,,,1102B1175,,,,,Pathfast
,,,1908D3652,,,,,Pathfast
,,,3607,,,,,Maxibio
,,,3620,,,,,Maxibio
,,,1610D2840,,,,,"Analizor Pathfast"
,,,9143904,,,,,"Gastat 735"
,,,9080904,,,,,"Gastat 735"
,,,9180904,,,,,"Gastat 735"
,,,1806D3201,,,,,PATHFAST
,,,1902D3365,,,,,PATHFAST
,,,1905D3484,,,,,PATHFAST
,,,1907D3562,,,,,PATHFAST
,,,9017904,,,,,"Gastat 735"
,,,20K18005,,,,,"Platforma RT-PCR VitaPCR"
,,,20K18006,,,,,"Platforma RT-PCR VitaPCR"
,,,9259904,,,,,"Gastat 735"
,,,G20289M0023,,,,,Ventway
,,,12799,,,,,"Monnal T60"
,,,13076,,,,,"Monnal T60"
,,,13312,,,,,"Monnal T60"
,,,2005D3910,,,,,"Pathfast D"
,,,12912,,,,,"Monnal T60"
,,,HR6216,,,,,"Hemochron Response"
,,Minibio,2744,,,,,Minibio
,,Navi,4001404,,,,,Gastat
,,EZ,51806051,,,,,Spotchem
,,Unyvero,"60001/0187 60002/0173 60003/0347",,,,,Curetis
,,T60,7458,,,,,Monal
,,Elitte,10077,,,,,Hemocron
,,Versatrek240,2060X0513,,,,,"Termo Fisher"
,,735,O9180904,,,,,Gastat
,,735,O9143904,,,,,Gastat
,,"tip D",2109D4259,,,,,
,,,A47190048,,,,,
,,,A47190056,,,,,
,,"tip D",2109D4260,,,,,
,,D,1903D3407,,,,,
,,"tip D",2109D4261,,,,,
,,"tip D",2109D4262,,,,,
,,"tip D",2201D4330,,,,,
,,"tip D",2203D4375,,,,,
,,"tip D",2203D4376,,,,,
,,tip,2203D4378,,,,,
,,"tip D",2203D4379,,,,,
,,"tip D",2205D4437,,,,,
,,,06022206,,,,,
,,,06024206,,,,,
,,,23643,,,,,
,,,23644,,,,,
,,,23645,,,,,
,,,9398,,,,,
,,Advanced,MT6A-00450,,,,,
,,,21L01059,,,,,
,,,NI50H23012,,,,,
,,,09070904,,,,,
,,Navi,,,,,,
,,D,,,,,,
,,C,,,,,,
,,"Icon 5",,,,,,
,,,,,,,,
,,,,,,,,
,,735,,,,,,
,,735,,,,,,
,,735,,,,,,
,,D,,,,,,
,,D,,,,,,
,,"tip D",2301D4607,,,,,
,,VCM,A48210035,,,,,
,,VCM,A48210078,,,,,
,,,2211D4571,,,,,
,,,2211D4573,,,,,
,,,2211D4574,,,,,
,,,2211D4577,,,,,
,,,2211D4578,,,,,
,,,2211D4580,,,,,
,,"tip D",2305D4731,,,,,
,,"tip D",2305D4732,,,,,
,,"tip D",2305D4733,,,,,
,,"tip D",2305D4734,,,,,
,,"tip D",2305D4735,,,,,
,,,00X600186N,,,,,
,,VCM,A38230009,,,,,
,,VCM,A38230010,,,,,
,,VCM,A38230012,,,,,
,,VCM,A38230014,,,,,
,,735,,,,,,
,,,23/0297,,,,,
,,,23/0299,,,,,
,,,22B16009,,,,,
,,,21J22059,,,,,
