Subiect,"Tip Interventie","Motiv Interventie",Organizatie,Status,"Prioritate Caz","Data Deschidere","Data Inchidere","Nume Echipament","Atribuit Lui"
"Problema aparat pathfast",,,,Nou,"Nivel Mediu",2014-09-24,,,"Claudiu Herlea"
"Eroare masurare troponina, Pathfast UPU",,,"Spitalul Cl.Jud.Urg.Brasov - CUI: 4384117",Inchis,"Nivel Scazut",2014-11-20,,,"Claudiu Herlea"
"verificari conform contract - Service  NELLCOR","Cu Factura",Revizie,"Sanimed International Impex SRL - CUI: RO15995515",Inchis,"Nivel Mediu",2015-01-20,,,"Claudiu Herlea"
test,,,"A&A Medical Vet SRL - CUI: RO6641918",Nou,"Nivel Scazut",2015-05-06,,,"Claudiu Herlea"
"verificare Pathfast upu","Fara Factura",,"Spitalul Jud. Urgenta Alba - CUI: 4613342",Inchis,"Nivel Scazut",2015-10-30,,,"Claudiu Herlea"
"AGITATOR RUPT","Cu Factura",,"Sp. Orasenesc Campeni - CUI: 4331074",Inchis,"Nivel Scazut",2015-10-30,,,"Claudiu Herlea"
"VERIFICARE PATHFAST","Cu Factura",,"Sp. Orasenesc Abrud - CUI: 4562940",Inchis,"Nivel Scazut",2015-10-30,,Pathfast,"Claudiu Herlea"
"VERIFICARI SERVICE","Cu Factura",,"UM 0502 Cabinet Medical Alba Iulia - CUI: ",Inchis,"Nivel Scazut",2015-10-30,,Spotchem,"Claudiu Herlea"
"VERIFICARE PATHFAST","Cu Factura",,"Spitalul Jud. Urgenta Alba - CUI: 4613342",Inchis,"Nivel Scazut",2015-10-30,,Pathfast,"Claudiu Herlea"
"SERVICE PATHFAST","Cu Factura",,"Spitalul Jud. Urgenta Alba - CUI: 4613342",Inchis,"Nivel Scazut",2015-10-30,,Pathfast,"Claudiu Herlea"
"SERVICE PATHFAST","Fara Factura",,"Spitalul Jud. Urgenta Alba - CUI: 4613342",Inchis,"Nivel Scazut",2015-10-30,,Pathfast,"Claudiu Herlea"
"SERVICE PATHFAST","Fara Factura",,"Spitalul Jud. Urgenta Alba - CUI: 4613342",Inchis,"Nivel Scazut",2015-10-30,,Pathfast,"Claudiu Herlea"
"SERVICE PATHFAST","Fara Factura",,"Spitalul Jud. Urgenta Alba - CUI: 4613342",Inchis,"Nivel Scazut",2015-10-30,,Pathfast,"Claudiu Herlea"
"VERIFICARE PATHFAST","Fara Factura",,"Sp. Orasenesc Abrud - CUI: 4562940",Inchis,"Nivel Scazut",2015-10-30,,Pathfast,"Claudiu Herlea"
"URIT SERVICE","Fara Factura",,"Sp. Orasenesc Campeni - CUI: 4331074",Inchis,"Nivel Scazut",2015-10-30,,,"Claudiu Herlea"
"URIT SERVICE","Fara Factura",,"Sp. Orasenesc Campeni - CUI: 4331074",Inchis,"Nivel Scazut",2015-10-30,,,"Claudiu Herlea"
"VERIFICARI SERVICE","Fara Factura",,"UM 0502 Cabinet Medical Alba Iulia - CUI: ",Inchis,"Nivel Scazut",2015-10-30,,Spotchem,"Claudiu Herlea"
"URIT SERVICE","Fara Factura",,"Sp. Orasenesc Campeni - CUI: 4331074",Inchis,"Nivel Scazut",2015-10-30,,,"Claudiu Herlea"
"SERVICE PATHFAST","Fara Factura",,"Spitalul Jud. Urgenta Alba - CUI: 4613342",Inchis,"Nivel Scazut",2015-10-30,,Pathfast,"Claudiu Herlea"
"SERVICE PATHFAST","Fara Factura",,"Spitalul Jud. Urgenta Alba - CUI: 4613342",Inchis,"Nivel Scazut",2015-10-30,,Pathfast,"Claudiu Herlea"
"URIT SERVICE","Fara Factura",,"Sp. Orasenesc Campeni - CUI: 4331074",Inchis,"Nivel Scazut",2015-10-30,,,"Claudiu Herlea"
"SERVICE GASTAT","Fara Factura",,"Sp.Cl.Jud.de Urg. Bihor - CUI: 4208498",Inchis,"Nivel Scazut",2015-10-30,,,"Claudiu Herlea"
"SERVICE PATHFAST","Fara Factura",,"Spit. Jud. de Urg 'Dr. C-tin Opris'Baia Mare - CUI: 3694594",Inchis,"Nivel Scazut",2015-10-30,,Pathfast,"Claudiu Herlea"
"SERVICE PATHFAST","Fara Factura",,"Spit. Jud. de Urg 'Dr. C-tin Opris'Baia Mare - CUI: 3694594",Inchis,"Nivel Scazut",2015-10-30,,Pathfast,"Claudiu Herlea"
"SERVICE PATHFAST","Fara Factura",,"Spit. Jud. de Urg 'Dr. C-tin Opris'Baia Mare - CUI: 3694594",Inchis,"Nivel Scazut",2015-10-30,,Pathfast,"Claudiu Herlea"
"SERVICE PATHFAST","Fara Factura",,"Spit. Jud. de Urg 'Dr. C-tin Opris'Baia Mare - CUI: 3694594",Inchis,"Nivel Scazut",2015-10-30,,Pathfast,"Claudiu Herlea"
"SERVICE PATHFAST","Fara Factura",,"Spit. Jud. de Urg 'Dr. C-tin Opris'Baia Mare - CUI: 3694594",Inchis,"Nivel Scazut",2015-10-30,,Pathfast,"Claudiu Herlea"
"SERVICE PATHFAST","Fara Factura",,"Spit. Jud. de Urg 'Dr. C-tin Opris'Baia Mare - CUI: 3694594",Inchis,"Nivel Scazut",2015-10-30,,Pathfast,"Claudiu Herlea"
"SERVICE PATHFAST","Fara Factura",,"Spit. Jud. de Urg 'Dr. C-tin Opris'Baia Mare - CUI: 3694594",Inchis,"Nivel Scazut",2015-10-30,,Pathfast,"Claudiu Herlea"
"SERVICE PATHFAST","Fara Factura",,"Spit. Jud. de Urg 'Dr. C-tin Opris'Baia Mare - CUI: 3694594",Inchis,"Nivel Scazut",2015-10-30,,Pathfast,"Claudiu Herlea"
"SERVICE PATHFAST","Fara Factura",,"Spit. Jud. de Urg 'Dr. C-tin Opris'Baia Mare - CUI: 3694594",Inchis,"Nivel Scazut",2015-10-30,,Pathfast,"Claudiu Herlea"
"SERVICE PATHFAST","Fara Factura",,"Spit. Jud. de Urg 'Dr. C-tin Opris'Baia Mare - CUI: 3694594",Inchis,"Nivel Scazut",2015-10-30,,Pathfast,"Claudiu Herlea"
"SERVICE PATHFAST","Fara Factura",,"Spital Jud.de Urgenta Bistrita Nasaud - CUI: 4347593",Inchis,"Nivel Scazut",2015-10-30,,Pathfast,"Claudiu Herlea"
"SERVICE GASTAT","Fara Factura",,"Spital Jud.de Urgenta Bistrita Nasaud - CUI: 4347593",Inchis,"Nivel Scazut",2015-10-30,,,"Claudiu Herlea"
"SERVICE GASTAT","Fara Factura",,"Spital Jud.de Urgenta Bistrita Nasaud - CUI: 4347593",Inchis,"Nivel Scazut",2015-10-30,,,"Claudiu Herlea"
"SERVICE PATHFAST","Fara Factura",,"Spital Jud.de Urgenta Bistrita Nasaud - CUI: 4347593",Inchis,"Nivel Scazut",2015-10-30,,Pathfast,"Claudiu Herlea"
"SERVICE PATHFAST + GASTAT ","Fara Factura",,"Spital Jud.de Urgenta Bistrita Nasaud - CUI: 4347593",Inchis,"Nivel Scazut",2015-10-30,,Pathfast,"Claudiu Herlea"
"SERVICE PATHFAST + GASTAT ","Fara Factura",,"Spital Jud.de Urgenta Bistrita Nasaud - CUI: 4347593",Inchis,"Nivel Scazut",2015-10-30,,Pathfast,"Claudiu Herlea"
"SERVICE GASTAT","Fara Factura",,"Spital Jud.de Urgenta Bistrita Nasaud - CUI: 4347593",Inchis,"Nivel Scazut",2015-10-30,,,"Claudiu Herlea"
"SERVICE SPOTCHEM ","Fara Factura",,"Cabinet Medical Bistrita-Nasaud - CUI: ",Inchis,"Nivel Scazut",2015-10-30,,Spotchem,"Claudiu Herlea"
"SERVICE GASTAT - INSTALARE","Fara Factura",,"Spital Jud.de Urgenta Bistrita Nasaud - CUI: 4347593",Inchis,"Nivel Scazut",2015-10-30,,,"Claudiu Herlea"
"SERVICE GASTAT","Fara Factura",,"Spital Jud.de Urgenta Bistrita Nasaud - CUI: 4347593",Inchis,"Nivel Scazut",2015-10-30,,,"Claudiu Herlea"
"SERVICE SPOTCHEM ","Fara Factura",,"Cabinet Medical Bistrita-Nasaud - CUI: ",Inchis,"Nivel Scazut",2015-10-30,,Spotchem,"Claudiu Herlea"
"SERVICE GASTAT","Fara Factura",,"Spital Jud.de Urgenta Bistrita Nasaud - CUI: 4347593",Inchis,"Nivel Scazut",2015-10-30,,,"Claudiu Herlea"
"SERVICE SPOTCHEM ","Fara Factura",,"Cabinet Medical Bistrita-Nasaud - CUI: ",Inchis,"Nivel Scazut",2015-10-30,,Spotchem,"Claudiu Herlea"
"SERVICE GASTAT","Fara Factura",,"Spital Jud.de Urgenta Bistrita Nasaud - CUI: 4347593",Inchis,"Nivel Scazut",2015-10-30,,,"Claudiu Herlea"
"SERVICE PATHFAST + GASTAT ","Fara Factura",,"Spital Jud.de Urgenta Bistrita Nasaud - CUI: 4347593",Inchis,"Nivel Scazut",2015-10-30,,Pathfast,"Claudiu Herlea"
"SERVICE GASTAT","Fara Factura",,"Spitalul Cl. de Copii Cluj Napoca - CUI: 4426352",Inchis,"Nivel Scazut",2015-10-30,,,"Claudiu Herlea"
"SERVICE GASTAT","Cu Factura",,"Spitalul Cl. de Copii Cluj Napoca - CUI: 4426352",Inchis,"Nivel Scazut",2015-10-30,,,"Claudiu Herlea"
"SERVICE GASTAT","Cu Factura",,"Spitalul Cl. de Copii Cluj Napoca - CUI: 4426352",Inchis,"Nivel Scazut",2015-10-30,,,"Claudiu Herlea"
"SERVICE GASTAT","Cu Factura",,"Spitalul Cl. de Copii Cluj Napoca - CUI: 4426352",Inchis,"Nivel Scazut",2015-10-30,,,"Claudiu Herlea"
"SERVICE GASTAT","Fara Factura",,"Spitalul Cl. de Copii Cluj Napoca - CUI: 4426352",Inchis,"Nivel Scazut",2015-10-30,,,"Claudiu Herlea"
"SERVICE GASTAT","Cu Factura",,"Spitalul Cl. de Copii Cluj Napoca - CUI: 4426352",Inchis,"Nivel Scazut",2015-10-30,,,"Claudiu Herlea"
"SERVICE GASTAT","Cu Factura",,"Spitalul Cl. de Copii Cluj Napoca - CUI: 4426352",Inchis,"Nivel Scazut",2015-10-30,,,"Claudiu Herlea"
"SERVICE GASTAT","Cu Factura",,"Spitalul Cl. de Copii Cluj Napoca - CUI: 4426352",Inchis,"Nivel Scazut",2015-10-30,,,"Claudiu Herlea"
"SERVICE GASTAT","Fara Factura",,"Spitalul Cl. de Copii Cluj Napoca - CUI: 4426352",Inchis,"Nivel Scazut",2015-10-30,,,"Claudiu Herlea"
"SERVICE GASTAT","Fara Factura",,"Spitalul Cl. de Copii Cluj Napoca - CUI: 4426352",Inchis,"Nivel Scazut",2015-10-30,,,"Claudiu Herlea"
"SERVICE GASTAT","Cu Factura",,"Spitalul Cl. de Copii Cluj Napoca - CUI: 4426352",Inchis,"Nivel Scazut",2015-10-30,,,"Claudiu Herlea"
"SERVICE GASTAT","Fara Factura",,"Spitalul Cl. de Copii Cluj Napoca - CUI: 4426352",Inchis,"Nivel Scazut",2015-10-30,,,"Claudiu Herlea"
"SERVICE GASTAT","Cu Factura",,"Spitalul Cl. de Copii Cluj Napoca - CUI: 4426352",Inchis,"Nivel Scazut",2015-10-30,,,"Claudiu Herlea"
"SERVICE GASTAT","Cu Factura",Revizie,"Spitalul Cl. de Copii Cluj Napoca - CUI: 4426352",Inchis,"Nivel Scazut",2015-10-30,,,"Claudiu Herlea"
"SERVICE PATHFAST","Fara Factura",,"Spitalul Jud. de Urgenta Cluj - CUI: 4288080",Inchis,"Nivel Scazut",2015-10-30,,Pathfast,"Claudiu Herlea"
"SERVICE PATHFAST","Fara Factura",,"Spitalul Jud. de Urgenta Cluj - CUI: 4288080",Inchis,"Nivel Scazut",2015-10-30,,Pathfast,"Claudiu Herlea"
"VERIFICARE ELITE","Fara Factura",,"Spitalul Jud. de Urgenta Cluj - CUI: 4288080",Inchis,"Nivel Scazut",2015-10-30,,,"Claudiu Herlea"
"VERIFICARE ELITE","Fara Factura",,"Spitalul Jud. de Urgenta Cluj - CUI: 4288080",Inchis,"Nivel Scazut",2015-10-30,,,"Claudiu Herlea"
"VERIFICARE ELITE","Fara Factura",,"Spitalul Jud. de Urgenta Cluj - CUI: 4288080",Inchis,"Nivel Scazut",2015-10-30,,,"Claudiu Herlea"
"SERVICE PATHFAST","Fara Factura",,"Sp. Municipal Gherla - CUI: 4546995",Inchis,"Nivel Scazut",2015-10-30,,,"Claudiu Herlea"
"SERVICE PATHFAST","Fara Factura",,"Spitalul Jud. de Urgenta Cluj - CUI: 4288080",Inchis,"Nivel Scazut",2015-10-30,,Pathfast,"Claudiu Herlea"
"VERIFICARE ELITE","Fara Factura",,"Spitalul Jud. de Urgenta Cluj - CUI: 4288080",Inchis,"Nivel Scazut",2015-10-30,,,"Claudiu Herlea"
"SERVICE PATHFAST","Cu Factura",,"Spitalul Jud. de Urgenta Cluj - CUI: 4288080",Inchis,"Nivel Scazut",2015-10-30,,Pathfast,"Claudiu Herlea"
"RIDICARE PATHFAST","Fara Factura",,"Sp. Orasenesc Huedin - CUI: 4485618",Inchis,"Nivel Scazut",2015-10-30,,Pathfast,"Claudiu Herlea"
"INSTALARE PATHFAST","Fara Factura",,"Spitalul Municipal Cluj - CUI: 4547117",Inchis,"Nivel Scazut",2015-10-30,,Pathfast,"Claudiu Herlea"
"SERVICE PATHFAST","Fara Factura",,"Instit.Inimii N.Stancioiu - CUI: 4617719",Inchis,"Nivel Scazut",2015-10-30,,Pathfast,"Claudiu Herlea"
"electrod Lac cu probleme","Fara Factura",,"Spital Jud.de Urgenta Bistrita Nasaud - CUI: 4347593",Inchis,"Nivel Scazut",2015-11-06,,,"Claudiu Herlea"
"URIT SERVICE ","Fara Factura",,"Sp. Orasenesc Campeni - CUI: 4331074",Inchis,"Nivel Scazut",2015-11-06,,,"Claudiu Herlea"
"GASTA 603 - PORT INFUNDAT","Fara Factura",,"Spitalul Cl. de Copii Cluj Napoca - CUI: 4426352",Inchis,"Nivel Scazut",2015-11-06,,,"Claudiu Herlea"
"SERVICE PATHFAST","Cu Factura",,"Spitalul Cl. Jud. de Urg. Tg Mures - CUI: 4323209",Inchis,"Nivel Scazut",2015-11-06,,Pathfast,"Claudiu Herlea"
"VERIFICARE PATHFAST","Fara Factura",,"Spitalul Cl. Jud. de Urg. Tg Mures - CUI: 4323209",Revenire,"Nivel Scazut",2015-11-06,,Pathfast,"Claudiu Herlea"
"URIT SERVICE","Cu Factura",,"Sp. Orasenesc Campeni - CUI: 4331074",Inchis,"Nivel Mediu",2015-11-16,,,"Claudiu Herlea"
"SERVICE PATHFAST","Cu Factura",Revizie,"Spitalul Judetean Miercurea Ciuc - CUI: 4245305",Inchis,"Nivel Scazut",2015-11-16,,Pathfast,"Claudiu Herlea"
"VERIFICARI STERINIS","Cu Factura",Revizie,"Spitalul Judetean Miercurea Ciuc - CUI: 4245305",Inchis,"Nivel Scazut",2015-11-16,,,"Claudiu Herlea"
"SERVICE VALLEYLAB","Cu Factura",,"Spitalul Jud. de Urgenta Cluj - CUI: 4288080",Revenire,"Nivel Scazut",2015-11-16,,,"Claudiu Herlea"
"SERVICE VALLEYLAB","Cu Factura",,"Spitalul Jud. de Urgenta Cluj - CUI: 4288080",Inchis,"Nivel Scazut",2015-11-16,,,"Claudiu Herlea"
"SERVICE PATHFAST","Cu Factura",,"Spitalul Cl. Jud. de Urg. Tg Mures - CUI: 4323209",Inchis,"Nivel Scazut",2015-11-16,,Pathfast,"Claudiu Herlea"
"SERVICE STERINIS","Cu Factura",,"Instit.Inimii N.Stancioiu - CUI: 4617719",Revenire,"Nivel Scazut",2015-11-16,,,"Claudiu Herlea"
"STERNIS SR2","Cu Factura",,"Instit.Inimii N.Stancioiu - CUI: 4617719",Inchis,"Nivel Scazut",2015-11-17,,,"Claudiu Herlea"
"ECRAN DEFECT pathfast","Cu Factura",,"Spitalul Cl. Jud. de Urg. Tg Mures - CUI: 4323209",Inchis,"Nivel Scazut",2015-11-18,,Pathfast,"Claudiu Herlea"
"SERVICE STERINIS","Cu Factura",,"Spit. Jud. de Urg 'Dr. C-tin Opris'Baia Mare - CUI: 3694594",Inchis,"Nivel Scazut",2015-11-23,,,"Claudiu Herlea"
