Subiect,"Tip Interventie","Motiv Interventie",Organizatie,Status,"Prioritate Caz","Data Deschidere","Data Inchidere","Nume Echipament","Atribuit Lui"
"Curatare si verificare","Fara Factura",,"Sp. Universitar de Urgenta Elias - CUI: 4192537",Inchis,"Nivel Scazut",2015-10-05,,,"Razvan Dinescu"
"Curatare si verificare","Fara Factura",,"Spit.Jud de urgenta Calarasi - CUI: 3233078",Inchis,"Nivel Scazut",2015-10-08,,Pathfast,"Razvan Dinescu"
"Calibrare analizor Pathfast","Cu Factura",,"UM 02175 - CUI: 4301383",Inchis,"Nivel Scazut",2015-10-13,,Pathfast,"Razvan Dinescu"
"Predare analizor Pathfast ","Fara Factura",,"Spital Orasenesc Urgenta Tg.Carbunesti - CUI: 4510266",Inchis,"Nivel Scazut",2015-10-15,,Pathfast,"Razvan Dinescu"
"Calibrare analizor Pathfast","Fara Factura",,"Spitalul Cl.de Urgenta Floreasca - CUI: 4505332",Inchis,"Nivel Scazut",2015-10-16,,Pathfast,"Razvan Dinescu"
"Eroare imprimanta Pathfast","Fara Factura",,"UM 02482 - CUI: 4364594",Inchis,"Nivel Scazut",2015-10-22,,Pathfast,"Razvan Dinescu"
"Revizie periodica","Fara Factura",,"UM 02482 - CUI: 4364594",Inchis,"Nivel Scazut",2015-10-26,,Pathfast,"Razvan Dinescu"
"Calibrare analizor Pathfast","Fara Factura",,"Spitalul Cl.de Urgenta Floreasca - CUI: 4505332",Inchis,"Nivel Scazut",2015-10-30,,Pathfast,"Razvan Dinescu"
"Calibrare analizor Pathfast","Fara Factura",,"UM 02482 - CUI: 4364594",Inchis,"Nivel Scazut",2015-10-30,,Pathfast,"Razvan Dinescu"
"Calibrare analizor Pathfast","Fara Factura",,"Sp.Cl.Chirurgie Plastica si Arsuri Bucuresti - CUI: 4967072",Inchis,"Nivel Scazut",2015-11-03,,Pathfast,"Razvan Dinescu"
"Calibrare analizor Pathfast","Fara Factura",,"UM 0502 - CUI: 4204283",Inchis,"Nivel Scazut",2015-11-03,,,"Razvan Dinescu"
"Eroare senzor Pathfast","Fara Factura",,"Sp. Universitar de Urgenta Elias - CUI: 4192537",Inchis,"Nivel Scazut",2015-11-03,,,"Razvan Dinescu"
"Instalare analizor Pathfast","Fara Factura",,"Medlife SA - CUI: RO8422035",Inchis,"Nivel Scazut",2015-11-12,,Pathfast,"Razvan Dinescu"
"Instalare analizor Pathfast","Fara Factura",,"Spitalul Jud. Slobozia - CUI: 4231768",Inchis,"Nivel Scazut",2015-12-08,,,"Razvan Dinescu"
"Relocare analizor Pathfast","Cu Factura",,"Spitalul Jud. Slobozia - CUI: 4231768",Inchis,"Nivel Scazut",2015-12-08,,Pathfast,"Razvan Dinescu"
"PIF Nebulizator Mobiwatch","Fara Factura",,"Sp.Agrippa Ionescu Bucuresti - CUI: 8372077",Inchis,"Nivel Scazut",2015-12-08,,,"Razvan Dinescu"
"PIF Nebulizator Mobiwatch","Fara Factura",,"Sp.Agrippa Ionescu Bucuresti - CUI: 8372077",Inchis,"Nivel Scazut",2015-12-08,,,"Razvan Dinescu"
"PIF Nebulizator Mobiwatch","Cu Factura",,"Sp.Agrippa Ionescu Bucuresti - CUI: 8372077",Inchis,"Nivel Scazut",2015-12-08,,,"Razvan Dinescu"
"PIF Nebulizator Mobiwatch","Cu Factura",,"Sp.Agrippa Ionescu Bucuresti - CUI: 8372077",Inchis,"Nivel Scazut",2015-12-08,,,"Razvan Dinescu"
"PIF Nebulizator Mobiwatch","Fara Factura",,"Sp.Agrippa Ionescu Bucuresti - CUI: 8372077",Inchis,"Nivel Scazut",2015-12-08,,,"Razvan Dinescu"
"Revizie periodica Pathfast","Fara Factura",,"Spit.Jud.de Urgenta Braila - CUI: 4342863",Inchis,"Nivel Scazut",2015-12-14,,Pathfast,"Razvan Dinescu"
"Revizie periodica URIT 8030","Fara Factura",,"Spit.Jud.de Urgenta Braila - CUI: 4342863",Inchis,"Nivel Scazut",2015-12-14,,,"Razvan Dinescu"
"Revizie periodica Gastat Navi","Cu Factura",Revizie,"Spital Clinic Jud. de Urgenta Galati - CUI: 3126853",Nou,"Nivel Scazut",2015-12-14,,,"Razvan Dinescu"
"Revizie periodica Gastat Navi","Fara Factura",,"Spit.Jud.de Urgenta Braila - CUI: 4342863",Inchis,"Nivel Scazut",2015-12-14,,"Gastat Navi","Razvan Dinescu"
"Revizie periodica  Gastat 1835","Fara Factura",,"Spit.Jud.de Urgenta Braila - CUI: 4342863",Inchis,"Nivel Scazut",2015-12-14,,,"Razvan Dinescu"
"Revizie periodica Pathfast","Fara Factura",,"Spital Clinic Jud. de Urgenta Galati - CUI: 3126853",Inchis,"Nivel Scazut",2015-12-14,,Pathfast,"Razvan Dinescu"
"Instalare analizor Pathfast","Fara Factura",,"Spitalul de Urgenta Tulcea - CUI: 4026712",Inchis,"Nivel Scazut",2015-12-14,,Pathfast,"Razvan Dinescu"
"Instalare analizor Pathfast","Fara Factura",,"Spitalul de Urgenta Tulcea - CUI: 4026712",Inchis,"Nivel Scazut",2015-12-14,,Pathfast,"Razvan Dinescu"
"Instalare analizor Pathfast","Fara Factura",,"Spital Judetean de Urgenta Valcea - CUI: 2540589",Inchis,"Nivel Scazut",2015-12-22,,,"Razvan Dinescu"
"Instalare analizor Pathfast","Fara Factura",Cerere,"Spitalul Judetean Pitesti - CUI: 4122205",Inchis,"Nivel Scazut",2015-12-22,,,"Razvan Dinescu"
"Revizie periodica Pathfast","Fara Factura",,"Sp.Cl.Chirurgie Plastica si Arsuri Bucuresti - CUI: 4967072",Inchis,"Nivel Scazut",2015-12-22,,Pathfast,"Razvan Dinescu"
"Calibrare analizor Pathfast","Fara Factura",,"UM 02175 - CUI: 4301383",Inchis,"Nivel Scazut",2016-01-11,,Pathfast,"Razvan Dinescu"
"Calibrare analizor Pathfast","Fara Factura",Revizie,"Medlife SA - CUI: RO8422035",Inchis,"Nivel Scazut",2016-01-12,,Pathfast,"Razvan Dinescu"
"Eroare linia 4 analizor Pathfast","Fara Factura",,"Spit. Judetean Giurgiu - CUI: 4352620",Inchis,"Nivel Scazut",2016-01-12,,Pathfast,"Razvan Dinescu"
"Eroare M0101 analizor Pathfast","Fara Factura",,,Inchis,"Nivel Scazut",2016-01-12,,Pathfast,"Razvan Dinescu"
"Eroare 121 Gastat Navi ","Fara Factura",,"Sp.Agrippa Ionescu Bucuresti - CUI: 8372077",Inchis,"Nivel Scazut",2016-01-12,,"Gastat Navi","Razvan Dinescu"
"Revizie periodica Pathfast","Fara Factura",,"Spital univ.de urgenta Bucuresti - CUI: 4283570",Inchis,"Nivel Scazut",2016-01-12,,Pathfast,"Razvan Dinescu"
"Revizie periodica Pathfast","Fara Factura",,"Spital univ.de urgenta Bucuresti - CUI: 4283570",Inchis,"Nivel Scazut",2016-01-12,,Pathfast,"Razvan Dinescu"
"Calibrare analizor Pathfast ","Fara Factura",,"Sp.Agrippa Ionescu Bucuresti - CUI: 8372077",Inchis,"Nivel Scazut",2016-01-12,,,"Razvan Dinescu"
"Verificare Gastat 603ie","Fara Factura",,"Sp.Agrippa Ionescu Bucuresti - CUI: 8372077",Inchis,"Nivel Scazut",2016-01-12,,,"Razvan Dinescu"
