Subiect,"Tip Interventie","Motiv Interventie",Organizatie,Status,"Prioritate Caz","Data Deschidere","Data Inchidere","Nume Echipament","Atribuit Lui"
"Problema aparat pathfast",,,,,,2014-09-24,,,
"eroare senzor varfuri uzate",,,,,,2014-11-12,,,
"eroare senzor varfuri reziduri",,,,,,2014-11-12,,,
"Eroare la calibrare 09, ",,,,,,2014-11-12,,,
"Zgomot in functionare, se blocheaza, ",,,,,,2014-11-12,,,
"Eroare calibrare cod 02",,,,,,2014-11-19,,,
"Eroare masurare troponina, Pathfast UPU",,,,,,2014-11-20,,,
"Eroare citire barcode reader intern",,,,,,2014-11-22,,,
"Flow sensor error Gastat 1820",,,,,,2014-12-03,,,
"Eroare PMT Pathfast",,,,,,2014-12-03,,,
"Eroare centrifuga Spotchem",,,,,,2014-12-03,,,
"Eroare PMT ",,,,,,2014-12-05,,,
"Eroare calibrare Pathfast",,,,,,2014-12-08,,,
"Eroare  Strines sr2",,,,,,2014-12-08,,,
" Verificare Pathfast",,,,,,2014-12-10,,,
"Eroare Pathfast ",,,,,,2014-12-10,,,
"Afiseaza stelute in loc de rezultat",,,,,,2014-12-22,,,
"verificare periodica",,,,,,2015-01-16,,,
"eroare calibrare NTProBNP",,,,,,2015-01-16,,,
"buton start se blocheaza",,,,,,2015-01-16,,,
"aparatul da eroare in timpul lucrului",,,,,,2015-01-16,,,
"verificari conform contract - Service  NELLCOR",,,,,,2015-01-20,,,
"eroare falsa : prezenta varfuri in waste box",,,,,,2015-01-21,,,
"verificare periodica",,,,,,2015-01-23,,,
"Plati la 180 zile.",,,,,,2015-02-02,,,
"Aparatul nu se initializeaza",,,,,,2015-02-04,,,
"verificare periodica",,,,,,2015-02-04,,,
"curatare/decontaminare periodica",,,,,,2015-02-04,,,
"pregatire pc pentru instalare Versatrek",,,,,,2015-02-04,,,
"pathfast software blocat",,,,,,2015-02-06,,,
"hemochron response eroare temperatura ridicata",,,,,,2015-02-09,,,
"instalare Versatrek",,,,,,2015-02-09,,,
"eroare pozitie 5 Pathfast",,,,,,2015-02-09,,,
"verificare periodica Pathfast",,,,,,2015-02-27,,,
"Eroare calibrare linia 3",,,,,,2015-04-14,,,
"eroare de soft",,,,,,2015-04-16,,,
"imprimanta defecta",,,,,,2015-04-16,,,
