Subiect,"Tip Interventie","Motiv Interventie",Organizatie,Status,"Prioritate Caz","Data Deschidere","Data Inchidere","Nume Echipament","Atribuit Lui"
"Verificare periodica PATHFAST - PV 7561","Fara Factura",Revizie,"Spt.Jud de Urg. Sf.Pantelimon  Focsani - CUI: 4350505",Inchis,"Nivel Scazut",2019-12-06,,Pathfast,"Eduard Dimitrachi"
"Verificare periodica PATHFAST - PV7083","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2019-12-06,,Pathfast,"Eduard Dimitrachi"
"Verificare periodica PATHFAST - PV 7084","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2019-12-06,,Pathfast,"Eduard Dimitrachi"
"Verificare periodica PATHFAST - PV 7085","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2019-12-06,,Pathfast,"Eduard Dimitrachi"
"Predare Nebulizatror Biowind - PV 7086","Fara Factura",Revizie,"UM 0502 Cabinet Medical Botosani - CUI: ",Inchis,"Nivel Scazut",2019-12-06,,,"Eduard Dimitrachi"
"Preluare echipament sediu - PV 7019","Fara Factura",Revizie,"Spitalul Jud. Vaslui - CUI: 3551942",Inchis,"Nivel Scazut",2019-12-06,,Pathfast,"Eduard Dimitrachi"
"Predare Pathfast la schimb - PV 7060","Fara Factura",Revizie,"Spitalul Jud. Vaslui - CUI: 3551942",Inchis,"Nivel Scazut",2019-12-06,,,"Eduard Dimitrachi"
"Verificare periodica PATHFAST PV 7717","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2019-12-13,,Pathfast,"Eduard Dimitrachi"
"Verificare periodica PATHFAST PV 7716","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2019-12-13,,Pathfast,"Eduard Dimitrachi"
"Verificare periodica PATHFAST PV  7715","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2019-12-13,,Pathfast,"Eduard Dimitrachi"
"Verificare periodica PATHFAST PV 7690","Fara Factura",Revizie,"Spitalul Jud. Vaslui - CUI: 3551942",Inchis,"Nivel Scazut",2019-12-13,,Pathfast,"Eduard Dimitrachi"
"pathfast PV 7691","Fara Factura",Instalare,"Spitalul Jud. Vaslui - CUI: 3551942",Nou,"Nivel Scazut",2019-12-13,,Pathfast,"Eduard Dimitrachi"
"Punere in functiune ICON 3 PV - 7966","Cu Factura",Instalare,"Spitalul Municipal Onesti - CUI: 4278825",Inchis,"Nivel Scazut",2020-01-13,,"Norma Icon 3","Eduard Dimitrachi"
"Service HEMOCHRON RESPONSE PV - 77","Cu Garantie",Revizie,"Instit. Boli Cardiovasculare Iasi - CUI: 8615184",Inchis,"Nivel Scazut",2020-01-13,,,"Eduard Dimitrachi"
"Revizie Pathfast PV - 132","Fara Factura",Revizie,"Spit Cl. jud de urgenta Piatra Neamt - CUI: 2613362",Revenire,"Nivel Scazut",2020-01-13,,Pathfast,"Eduard Dimitrachi"
"Revizie Pathfast - PV 303","Fara Factura",Revizie,"Spit Cl. jud de urgenta Piatra Neamt - CUI: 2613362",Inchis,"Nivel Scazut",2020-01-30,,,"Eduard Dimitrachi"
"Service Pathfast - PV 304","Fara Factura",Revizie,"Spit Jud de Urg Bacau - CUI: 4278728",Inchis,"Nivel Scazut",2020-01-30,,,"Eduard Dimitrachi"
"Service Pathfast - PV 406","Fara Factura",Revizie,"Spit Jud de Urg Bacau - CUI: 4278728",Inchis,"Nivel Scazut",2020-01-30,,,"Eduard Dimitrachi"
"Revizie Pathfast - PV 596","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2020-01-30,,,"Eduard Dimitrachi"
"Revizie Pathfast - PV 597","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2020-01-30,,,"Eduard Dimitrachi"
"Revizie periodica - PV 598","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2020-01-30,,,"Eduard Dimitrachi"
"Revizie periodica Pathfast - PV 1534","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2020-03-10,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica Pathfast - PV 1532","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2020-03-10,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica Pathfast - PV 1533","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2020-03-10,,Pathfast,"Eduard Dimitrachi"
"Cerere interventie Hemochron - PV 1812","Fara Factura",Cerere,"Spitalul Jud. Vaslui - CUI: 3551942",Inchis,"Nivel Scazut",2020-03-10,,,"Eduard Dimitrachi"
"Interventie Pathfast - PV 1437","Fara Factura",Revizie,"Spitalul Jud. Vaslui - CUI: 3551942",Inchis,"Nivel Scazut",2020-03-10,,,"Eduard Dimitrachi"
"Revizie periodica Pathfast - PV 1550","Fara Factura",Revizie,"Spitalul Cl. Jud.De Urgenta Sf.Spiridon Iasi - CUI: 4701312",Inchis,"Nivel Scazut",2020-03-10,,,"Eduard Dimitrachi"
"Cerere interventie Pathfast - PV 1524","Fara Factura",Cerere,"Spit Jud de Urg Bacau - CUI: 4278728",Inchis,"Nivel Scazut",2020-03-10,,Pathfast,"Eduard Dimitrachi"
"Returnare echipament PV - 934","Fara Factura",Cerere,"Spitalul Jud. Vaslui - CUI: 3551942",Inchis,"Nivel Scazut",2020-03-10,,,"Eduard Dimitrachi"
"Service Hemochron - PV 766","Fara Factura",Cerere,"Spitalul Jud. Vaslui - CUI: 3551942",Inchis,"Nivel Scazut",2020-03-10,,,"Eduard Dimitrachi"
"Revizie Pathfast - PV 731","Fara Factura",Revizie,"Spitalul Jud. Vaslui - CUI: 3551942",Inchis,"Nivel Scazut",2020-03-10,,,"Eduard Dimitrachi"
"Service Pathfast - PV 2567","Fara Factura",Cerere,"Spit Jud de Urg Bacau - CUI: 4278728",Inchis,"Nivel Scazut",2020-05-14,,Pathfast,"Eduard Dimitrachi"
"Revizie Pathfast - PV 2566","Fara Factura",Revizie,"Sp. Municipal Radauti - CUI: 4327367",Inchis,"Nivel Scazut",2020-05-14,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica - PV 2022","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2020-05-14,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica - PV 2012","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2020-05-14,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica - PV 2023","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2020-05-14,,Pathfast,"Eduard Dimitrachi"
"Service Pathfast - PV 1968","Fara Factura",Cerere,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2020-05-14,,Pathfast,"Eduard Dimitrachi"
"Service Pathfast - PV 2154","Fara Factura",Cerere,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2020-05-14,,Pathfast,"Eduard Dimitrachi"
"Pathfast - PV 2344","Fara Factura",Cerere,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2020-05-14,,Pathfast,"Eduard Dimitrachi"
"Instalare pathfast - PV 2345","Fara Factura",Instalare,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2020-05-14,,Pathfast,"Eduard Dimitrachi"
"Service Pathfast - PV 5124","Fara Factura",Cerere,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2020-08-12,,Pathfast,"Eduard Dimitrachi"
"Interventie pathfast - PV 3408","Fara Factura",Cerere,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2020-08-12,,Pathfast,"Eduard Dimitrachi"
"Interventie pathfast - PV 3531","Cu Factura",Cerere,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2020-08-12,,Pathfast,"Eduard Dimitrachi"
"Interventie pathfast - PV 3616","Cu Factura",Cerere,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2020-08-12,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica Pathfast - PV 4864","Fara Factura",Revizie,"Spit Cl. jud de urgenta Piatra Neamt - CUI: 2613362",Inchis,"Nivel Scazut",2020-08-12,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica Pathfast - PV 4840","Fara Factura",Revizie,"Spitalul Cl. Jud.De Urgenta Sf.Spiridon Iasi - CUI: 4701312",Inchis,"Nivel Scazut",2020-08-12,,Pathfast,"Eduard Dimitrachi"
"Interventie Pathfast - PV 4563","Fara Factura",Cerere,"Spitalul Jud. Vaslui - CUI: 3551942",Inchis,"Nivel Scazut",2020-08-12,,Pathfast,"Eduard Dimitrachi"
"Interventie Pathfast - PV 3775","Fara Factura",Cerere,"Spitalul Jud. Vaslui - CUI: 3551942",Inchis,"Nivel Scazut",2020-08-12,,Pathfast,"Eduard Dimitrachi"
"Interventie Pathfast - PV 3436","Fara Factura",Cerere,"Spitalul Jud. Vaslui - CUI: 3551942",Inchis,"Nivel Scazut",2020-08-12,,,"Eduard Dimitrachi"
"Interventie pathfast - PV 3377","Fara Factura",Cerere,"Spit Jud de Urg Bacau - CUI: 4278728",Inchis,"Nivel Scazut",2020-08-12,,Pathfast,"Eduard Dimitrachi"
"Interventie pathfast - PV 2380","Fara Factura",Revizie,"Spit Jud de Urg Bacau - CUI: 4278728",Inchis,"Nivel Scazut",2020-08-12,,,"Eduard Dimitrachi"
"Interventie pathfast - PV 4123","Fara Factura",Cerere,"Sp. Municipal Radauti - CUI: 4327367",Inchis,"Nivel Scazut",2020-08-12,,Pathfast,"Eduard Dimitrachi"
"Revizie periodica PATHFAST PV - 4508","Cu Factura",Revizie,"Spitalul Jud. 'Mavromati' Botosani - CUI: 4557951",Inchis,"Nivel Scazut",2020-09-11,,Pathfast,"Eduard Dimitrachi"
