Subiect,"Status Intalnire","Data Incepere",Organizatie,"Scopul Vizitei","Atribuit Lui"
Pathfast,,2024-04-08,,"verificare analizor + stoc reactivi",
Pathfast,,2024-04-08,,"verificare analizor + stoc reactivi",
Pathfast,,2024-03-28,,"verificare analizor + referat comanda",
Pathfast,,2024-03-27,,"verificare analizor",
Unyvero,,2024-03-26,,"promovare Unyvero prima vizita",
Pathfast,,2024-03-26,,"promovare PTH prima vizita",
Pathfast,,2024-03-25,,"verificare analizor",
Pathfast,,2024-03-25,,"verificare analizor + stoc reactivi",
Pathfast,,2024-03-25,,"verificare analizor + stoc teste",
Pathfast,,2024-03-22,,"verificare analizor",
Pathfast,,2024-03-21,,"verificare stare analizor + stoc reactivi",
Pathfast,,2024-03-20,,"verificare PTH",
Pathfast,,2024-03-20,,"verificare PTH",
"vizita dep financiar",,2024-03-20,,"clientul avea inregistrata o factura gresit",
Pathfast,,2024-03-19,,"verificare PTH si stoc teste",
"Icon 3",,2024-03-14,,"promovare Icon 3",
Pathfast,,2024-03-14,,"verificare stare analizor",
Pathfast,,2024-03-12,,"verificare PTH",
"Gastat Pro",,2024-03-08,,"promovare Gastat Pro",
"Icon 3",,2024-03-06,,"promovare Icon 3",
Pathfast,,2024-03-06,,"verificare PTH",
Pathfast,,2024-03-04,,"verificare PTH",
Pathfast,,2024-03-04,,"verificare PTH",
"Icon 3",,2024-03-01,,"promovare Icon 3",
Pathfast,,2024-03-01,,"verificare PTH",
Pathfast,,2024-02-22,,"verificare PTH + stoc reactivi",
Pathfast,,2024-02-22,,"verificare PTH + stoc reactivi",
Pathfast,,2024-02-20,,"verificare stare PTH + stoc reactivi",
Pathfast,,2024-02-19,,"primire referat comanda UPU",
Pathfast,,2024-02-19,,"verificare stare PTH si stoc reactivi",
"Gastat 735",,2024-02-16,,"promovare G735",
"Gastat 735",,2024-02-16,,"obtinere nr de teste efectuate astrup in sectia ATI",
Pathfast,,2024-02-15,,"propunere evaluare kit Psep FOC",
Pathfast,,2024-02-15,,"utilizare teste markeri",
Pathfast,,2024-02-15,,"cum folosesc testele de markeri cardiaci in UPU",
Pathfast,,2024-02-15,,"verificare stoc teste",
Pathfast,,2024-02-15,,"verificare aparat",
"dotare aparatura sectie UPU",,2024-02-14,,"info necesar aparatura si echipamente",
"extindere sectie UPU",,2024-02-14,,"dotare aparatura sectie UPU",
Pathfast,,2024-02-14,,"verificare consumabile",
Pathfast,,2024-02-14,,"verificare stare aparat",
Pathfast,,2024-02-13,,"verificare aparat",
Pathfast,,2024-02-13,,"verificare aparat",
"T60 & T75",,2024-02-08,,promovare,
"T60 & T75",,2024-02-08,,"promovare ATI NN",
"Icon 5",,2024-02-08,,"promovare lab",
Pathfast,,2024-02-07,,"verificare aparat",
Pathfast,,2024-02-06,,"verificare stare aparat",
"T60 & T75",,2024-02-06,,"promovare ATI",
"T60 & T75",,2024-02-06,,"promovare UPU",
Pathfast,,2024-02-06,,"verificare aparat",
"Icon 3",,2024-02-02,,promovare,
GPro,,2024-02-02,,promovare,
"Icon 3",,2024-02-01,,promovare,
Pathfast,,2024-02-01,,"promovare kit Psep FOC",
Pathfast,,2024-02-01,,"promovare kit Psep FOC",
Pathfast,,2024-02-01,,"promovare kit Psep FOC",
Pathfast,,2024-02-01,,"verificare stare aparat",
Pathfast,,2024-01-30,,"promovare kit Psep FOC",
Pathfast,,2024-01-30,,"verificare aparat",
Pathfast,,2024-01-30,,"verificare aparat",
Pathfast,,2024-01-25,,"verificare aparat",
GNavi,,2024-01-25,,promovare,
GNavi,,2024-01-22,,promovare,
GNavi,,2024-01-22,,promovare,
Pathfast,,2024-01-22,,"verificare stare aparat",
"Icon 3",,2024-01-19,,promovare,
"IB 10",,2024-01-19,,promovare,
Pathfast,,2024-01-18,,"promovare kit Psep FOC lab",
"IB 10",,2024-01-18,,promovare,
Pathfast,,2024-01-17,,"verificare stare aparat",
GNavi,,2024-01-17,,promovare,
Pathfast,,2024-01-16,,"promovare Psep FOC",
Pathfast,,2024-01-16,,"promovare Psep",
GPro,,2024-01-15,,promovare,
Pathfast,,2024-01-15,,"promovare kit Psep FOC",
Pathfast,,2024-01-15,,"verificare starea aparat",
GPro,,2024-01-11,,"promovare dir med",
"Icon 3",,2024-01-11,,promovare,
Pathfast,,2024-01-11,,"verificare stare aparat",
Unyvero,,2024-01-10,,promovare,
Unyvero,,2024-01-10,,"Promovare sef lab",
Unyvero,,2024-01-10,,promovare,
Pathfast,,2024-01-09,,"promovare conducere",
Pathfast,,2024-01-09,,promovare,
Pathfast,,2024-01-08,,"verificare stare aparat",
Pathfast,,2024-01-08,,"verificare stare aparat UPU",
Unyvero,,2024-01-08,,promovare,
Unyvero,,2024-01-08,,promovare,
Unyvero,,2024-01-08,,promovare,
"prezentare Unyvero",,2023-09-29,,"stabilire detalii prezentare",
"prezentare Unyvero",,2023-09-29,,"vizita programata",
"prezentare Unyvero",,2023-09-28,,"programare vizita Dr Dumitrescu",
"vizita programata manager",,2023-09-28,,"info prezentare",
